record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
29487,4,17,1999,22,DM,F,37.0,44.0
33572,3,13,2002,1,DO,M,37.0,52.0
29271,2,21,1999,8,OT,F,21.0,24.0
18880,7,13,1991,14,DM,F,36.0,29.0
5516,3,29,1982,18,DM,M,37.0,40.0
18765,6,13,1991,22,PE,F,17.0,21.0
32221,6,25,2001,20,PB,F,26.0,17.0
3618,12,16,1980,16,DM,M,37.0,49.0
13463,9,27,1987,2,PE,M,20.0,20.0
27972,5,29,1998,4,DM,M,34.0,48.0
11881,9,7,1986,3,PP,F,22.0,17.0
24470,9,22,1996,6,OT,F,20.0,25.0
7385,2,27,1983,14,DM,F,36.0,43.0
28173,7,18,1998,21,PB,M,26.0,27.0
34618,7,14,2002,8,DO,M,34.0,53.0
25384,3,16,1997,16,PM,M,20.0,24.0
9339,7,4,1984,7,RM,F,12.0,13.0
19813,3,7,1992,1,DO,M,36.0,57.0
23543,3,23,1996,7,PP,F,21.0,17.0
33912,4,17,2002,15,PB,F,26.0,19.0
22630,8,27,1995,6,PP,F,23.0,17.0
30190,1,8,2000,18,PB,F,25.0,22.0
29253,2,21,1999,6,OT,F,21.0,22.0
13416,9,27,1987,3,PP,F,22.0,19.0
8820,2,4,1984,23,RM,F,17.0,8.0
33180,11,18,2001,8,OT,F,20.0,23.0
5459,2,23,1982,4,DM,M,37.0,52.0
29110,1,17,1999,6,PB,M,26.0,45.0
8183,8,15,1983,20,DO,M,34.0,46.0
815,4,10,1978,1,DM,F,38.0,43.0
8362,9,11,1983,6,DM,F,34.0,37.0
35015,11,9,2002,18,PB,F,25.0,30.0
17348,3,30,1990,11,DM,M,36.0,52.0
5107,12,30,1981,22,DM,M,36.0,39.0
4162,4,5,1981,9,DS,M,50.0,98.0
33870,4,17,2002,4,PF,M,15.0,7.0
10785,9,22,1985,11,DM,F,33.0,36.0
11932,10,5,1986,8,DS,M,54.0,148.0
5143,12,31,1981,9,DS,F,50.0,140.0
21629,6,14,1994,1,OL,F,21.0,37.0
262,10,16,1977,20,PE,M,19.0,20.0
885,5,18,1978,11,DM,M,36.0,42.0
11782,8,10,1986,4,OL,M,22.0,28.0
24618,10,13,1996,4,DM,M,37.0,50.0
32525,8,26,2001,11,DM,M,35.0,46.0
34187,6,15,2002,1,PP,F,22.0,23.0
19974,5,3,1992,14,DM,M,37.0,41.0
25704,5,10,1997,18,PF,F,16.0,8.0
28294,7,19,1998,8,PP,M,22.0,20.0
23989,5,24,1996,13,DM,F,37.0,40.0
33678,3,14,2002,6,PB,F,27.0,34.0
24477,9,22,1996,13,OT,F,20.0,18.0
2141,11,17,1979,5,DM,F,33.0,30.0
16538,10,7,1989,22,PE,M,21.0,20.0
34332,6,16,2002,11,DO,M,36.0,43.0
28588,9,20,1998,7,PM,F,19.0,26.0
29401,3,15,1999,9,DM,F,36.0,45.0
32887,10,13,2001,20,PB,F,27.0,35.0
4672,7,8,1981,18,DM,F,35.0,47.0
22049,2,4,1995,2,DO,M,58.0,51.0
17581,6,21,1990,7,RM,F,16.0,9.0
26838,9,27,1997,1,PM,M,22.0,22.0
28898,11,22,1998,9,DM,F,35.0,44.0
13276,8,26,1987,11,PE,M,19.0,15.0
21908,11,2,1994,13,PF,F,13.0,7.0
10674,8,19,1985,18,DO,F,35.0,62.0
13767,11,22,1987,1,DM,M,36.0,43.0
